,0,1,2,3,4,5
2020-07-31,84.9194564819336,76.3795394897461,90.41800689697266,82.07074737548828,85.82664489746094,83.26505279541016
2020-08-31,79.9585189819336,92.97899627685547,88.76348876953125,88.71870422363281,92.2357177734375,87.98649597167969
2020-09-30,97.89895629882812,91.89567565917969,97.22079467773438,95.18037414550781,99.25867462158203,86.4349365234375
2020-10-31,94.67833709716797,98.31919860839844,101.81633758544922,98.58211517333984,95.1208267211914,100.45020294189453
2020-11-30,107.80415344238281,109.90477752685547,112.13994598388672,100.02555084228516,117.47886657714844,93.11429595947266
2020-12-31,112.03958129882812,113.30657958984375,105.7004623413086,113.96746826171875,99.85868072509766,101.32035827636719
2021-01-31,116.3490982055664,108.67889404296875,122.30423736572266,98.38512420654297,109.963134765625,112.41915893554688
2021-02-28,105.1368637084961,118.36254119873047,100.21408081054688,102.37169647216797,115.38114166259766,106.18717193603516
2021-03-31,124.58648681640625,105.27208709716797,113.30485534667969,117.0000991821289,118.75923156738281,100.90515899658203
2021-04-30,114.3554916381836,122.75930786132812,134.1027069091797,123.7959976196289,115.95225524902344,126.44654846191406
2021-05-31,124.58647918701172,136.35398864746094,132.9256134033203,112.91744232177734,134.85284423828125,123.87881469726562
2021-06-30,130.17234802246094,128.12718200683594,115.23967742919922,124.80204772949219,124.64624786376953,120.41567993164062
2021-07-31,128.79205322265625,117.21549987792969,134.53773498535156,122.3324966430664,128.07363891601562,125.87916564941406
2021-08-31,116.56099700927734,135.12351989746094,130.4273223876953,125.31758117675781,132.448486328125,124.81688690185547
2021-09-30,135.5509033203125,132.14987182617188,133.7689666748047,130.39093017578125,132.0158233642578,121.41790771484375
2021-10-31,143.42703247070312,146.47840881347656,150.61416625976562,140.49029541015625,140.28053283691406,151.18556213378906
2021-11-30,135.32919311523438,140.03599548339844,138.24290466308594,126.21733856201172,147.9016571044922,115.70931243896484
2021-12-31,138.55572509765625,137.47982788085938,132.55194091796875,143.3469696044922,121.64289855957031,121.59751892089844
2022-01-31,138.13528442382812,133.78225708007812,152.83563232421875,119.62803649902344,128.8888702392578,137.04440307617188
2022-02-28,131.1717529296875,150.87974548339844,124.42073059082031,124.65750885009766,141.6371612548828,131.78408813476562
2022-03-31,143.6132049560547,118.81915283203125,125.76314544677734,133.4167022705078,132.8594207763672,113.95927429199219
2022-04-30,120.1951675415039,127.45918273925781,142.27587890625,132.22203063964844,122.2157211303711,137.02931213378906
2022-05-31,130.08865356445312,145.11984252929688,142.91265869140625,122.97623443603516,149.220458984375,127.94056701660156
2022-06-30,145.10824584960938,141.9610137939453,129.08099365234375,145.6466064453125,135.54132080078125,134.41163635253906
2022-07-31,134.24656677246094,121.955322265625,144.7261199951172,125.2952880859375,133.83810424804688,131.3800048828125
2022-08-31,113.6706771850586,135.39230346679688,123.56159210205078,123.26708984375,129.40646362304688,120.4851303100586
2022-09-30,140.7216033935547,127.90254974365234,135.31898498535156,133.7891387939453,133.75865173339844,119.97574615478516
2022-10-31,123.07815551757812,129.0045623779297,134.57423400878906,126.18511962890625,121.80332946777344,134.5135498046875
2022-11-30,127.31909942626953,132.16244506835938,130.32444763183594,118.42388916015625,140.6170196533203,110.06436920166016
2022-12-31,131.0157012939453,128.3472900390625,123.44984436035156,137.2164764404297,116.060791015625,114.14097595214844
2023-01-31,131.0175018310547,124.834716796875,146.8280487060547,116.18170166015625,124.1278076171875,127.56002807617188
2023-02-28,123.90158081054688,144.17312622070312,120.5738525390625,120.26936340332031,134.24974060058594,123.31288146972656
2023-03-31,142.20716857910156,118.30944061279297,123.93325805664062,129.09568786621094,128.3317413330078,114.65283203125
2023-04-30,119.32845306396484,124.59207153320312,137.07022094726562,127.10786437988281,123.19290924072266,132.7343292236328
2023-05-31,117.19741821289062,127.74131774902344,125.2431640625,113.22808074951172,132.277587890625,114.5593032836914
2023-06-30,129.08790588378906,125.54003143310547,119.47435760498047,130.8625030517578,122.67057800292969,121.22504425048828
2023-07-31,128.13352966308594,121.08853912353516,139.97666931152344,122.40204620361328,130.90635681152344,129.55638122558594
2023-08-31,111.59423065185547,128.08946228027344,118.36206817626953,118.64936828613281,126.18639373779297,115.48584747314453
2023-09-30,125.94233703613281,115.59162902832031,122.19850158691406,122.11239624023438,120.42877960205078,108.11676788330078
